SKU,Product Name,Collection,Retail Presentation,Presentation Type,Measurement,Unit,Currency,Price
FMT-TH-CW-2025,Cow's Foot Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,36
FMT-TH-DB-2025,Dragon's Blood Bark,TRADITIONAL HERBS,57 g,bag,57,g,USD,22
FMT-TH-DB-2025,Dragon's Blood Bark,TRADITIONAL HERBS,113 g,bag,113,g,USD,36
FMT-TH-DB-2025,Dragon's Blood Bark,TRADITIONAL HERBS,454 g,bag,454,g,USD,72
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,1 unit,unit,1,unit,USD,35
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,2 units,unit,2,units,USD,60
FMT-TH-DO-2025,Sensitive Plant,TRADITIONAL HERBS,57 g,bag,57,g,USD,14
FMT-TH-DO-2025,Sensitive Plant,TRADITIONAL HERBS,113 g,bag,113,g,USD,20
FMT-TH-DO-2025,Sensitive Plant,TRADITIONAL HERBS,454 g,bag,454,g,USD,38
FMT-TH-EU-2025,Eucalyptus Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,14
FMT-TH-EU-2025,Eucalyptus Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,20
FMT-TH-EU-2025,Eucalyptus Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,35
FMT-TH-GL-2025,Guava Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,16
FMT-TH-GL-2025,Guava Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,25
FMT-TH-GL-2025,Guava Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,60
FMT-TH-GLB-2025,Gumbo Limbo Bark,TRADITIONAL HERBS,57 g,bag,57,g,USD,24
FMT-TH-GLB-2025,Gumbo Limbo Bark,TRADITIONAL HERBS,113 g,bag,113,g,USD,40
FMT-TH-GLB-2025,Gumbo Limbo Bark,TRADITIONAL HERBS,454 g,bag,454,g,USD,80
FMT-TH-GU-2025,Guaco Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,14
FMT-TH-GU-2025,Guaco Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,20
FMT-TH-GU-2025,Guaco Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,35
FMT-TH-HF-2025,Hibiscus Flowers,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-HF-2025,Hibiscus Flowers,TRADITIONAL HERBS,113 g,bag,113,g,USD,18
FMT-TH-HF-2025,Hibiscus Flowers,TRADITIONAL HERBS,454 g,bag,454,g,USD,36
FMT-TH-HG-2025,Quassia - Bitter Wood,TRADITIONAL HERBS,57 g,bag,57,g,USD,14
FMT-TH-HG-2025,Quassia - Bitter Wood,TRADITIONAL HERBS,113 g,bag,113,g,USD,20
FMT-TH-HG-2025,Quassia - Bitter Wood,TRADITIONAL HERBS,454 g,bag,454,g,USD,40
FMT-TH-HT-2025,Blessed Thistle,TRADITIONAL HERBS,57 g,bag,57,g,USD,17
FMT-TH-HT-2025,Blessed Thistle,TRADITIONAL HERBS,113 g,bag,113,g,USD,24
FMT-TH-HT-2025,Blessed Thistle,TRADITIONAL HERBS,454 g,bag,454,g,USD,45
FMT-TH-KR-2025,Kalawalla Root,TRADITIONAL HERBS,57 g,bag,57,g,USD,24
FMT-TH-KR-2025,Kalawalla Root,TRADITIONAL HERBS,113 g,bag,113,g,USD,38
FMT-TH-KR-2025,Kalawalla Root,TRADITIONAL HERBS,454 g,bag,454,g,USD,70
FMT-TH-LG-2025,Lemongrass,TRADITIONAL HERBS,57 g,bag,57,g,USD,15
FMT-TH-LG-2025,Lemongrass,TRADITIONAL HERBS,113 g,bag,113,g,USD,18
FMT-TH-LG-2025,Lemongrass,TRADITIONAL HERBS,454 g,bag,454,g,USD,34
FMT-TH-LV-2025,Leaf of Life - Miracle Leaf,TRADITIONAL HERBS,57 g,bag,57,g,USD,20
FMT-TH-LV-2025,Leaf of Life - Miracle Leaf,TRADITIONAL HERBS,113 g,bag,113,g,USD,33
FMT-TH-LV-2025,Leaf of Life - Miracle Leaf,TRADITIONAL HERBS,454 g,bag,454,g,USD,66
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,1 unit,unit,1,unit,USD,10
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,2 units,unit,2,units,USD,18
FMT-TH-ML-2025,Mango Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-ML-2025,Mango Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,16
FMT-TH-ML-2025,Mango Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,32
FMT-TH-MO-2025,Moringa Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,15
FMT-TH-MO-2025,Moringa Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,22
FMT-TH-MO-2025,Moringa Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,44
FMT-TH-MU-2025,Muicle Herb,TRADITIONAL HERBS,57 g,bag,57,g,USD,12
FMT-TH-MU-2025,Muicle Herb,TRADITIONAL HERBS,113 g,bag,113,g,USD,18
FMT-TH-MU-2025,Muicle Herb,TRADITIONAL HERBS,454 g,bag,454,g,USD,36
FMT-TH-NL-2025,Nettle Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,13
FMT-TH-NL-2025,Nettle Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,19
FMT-TH-NL-2025,Nettle Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,38
FMT-TH-NM-2025,Neem Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,14
FMT-TH-NM-2025,Neem Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,20
FMT-TH-NM-2025,Neem Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,40
FMT-TH-PC-2025,Pau D'Arco Bark,TRADITIONAL HERBS,57 g,bag,57,g,USD,28
FMT-TH-PC-2025,Pau D'Arco Bark,TRADITIONAL HERBS,113 g,bag,113,g,USD,40
FMT-TH-PC-2025,Pau D'Arco Bark,TRADITIONAL HERBS,454 g,bag,454,g,USD,88
FMT-TH-PG-2025,Palo Guaco,TRADITIONAL HERBS,57 g,bag,57,g,USD,18
FMT-TH-PG-2025,Palo Guaco,TRADITIONAL HERBS,113 g,bag,113,g,USD,25
FMT-TH-PG-2025,Palo Guaco,TRADITIONAL HERBS,454 g,bag,454,g,USD,50
FMT-TH-PL-2025,Plantain Leaf,TRADITIONAL HERBS,57 g,bag,57,g,USD,15
FMT-TH-PL-2025,Plantain Leaf,TRADITIONAL HERBS,113 g,bag,113,g,USD,22
FMT-TH-PL-2025,Plantain Leaf,TRADITIONAL HERBS,454 g,bag,454,g,USD,44
FMT-TH-PN-2025,Pine Needles,TRADITIONAL HERBS,57 g,bag,57,g,USD,20
FMT-TH-PN-2025,Pine Needles,TRADITIONAL HERBS,113 g,bag,113,g,USD,30
FMT-TH-PN-2025,Pine Needles,TRADITIONAL HERBS,454 g,bag,454,g,USD,60
FMT-TH-PS-2025,Palo Santo,TRADITIONAL HERBS,57 g,bag,57,g,USD,9
FMT-TH-PS-2025,Palo Santo,TRADITIONAL HERBS,113 g,bag,113,g,USD,15
FMT-TH-PS-2025,Palo Santo,TRADITIONAL HERBS,454 g,bag,454,g,USD,30
FMT-TH-SL-2025,Soursop Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,16
FMT-TH-SL-2025,Soursop Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,25
FMT-TH-SL-2025,Soursop Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,60
FMT-TH-SN-2025,Snake Plant,TRADITIONAL HERBS,57 g,bag,57,g,USD,9
FMT-TH-SN-2025,Snake Plant,TRADITIONAL HERBS,113 g,bag,113,g,USD,15
FMT-TH-SN-2025,Snake Plant,TRADITIONAL HERBS,454 g,bag,454,g,USD,30
FMT-TH-SP-2025,Stonebreaker,TRADITIONAL HERBS,57 g,bag,57,g,USD,30
FMT-TH-SP-2025,Stonebreaker,TRADITIONAL HERBS,113 g,bag,113,g,USD,50
FMT-TH-SP-2025,Stonebreaker,TRADITIONAL HERBS,454 g,bag,454,g,USD,100
FMT-TH-SR-2025,Sarsaparilla,TRADITIONAL HERBS,57 g,bag,57,g,USD,18
FMT-TH-SR-2025,Sarsaparilla,TRADITIONAL HERBS,113 g,bag,113,g,USD,28
FMT-TH-SR-2025,Sarsaparilla,TRADITIONAL HERBS,454 g,bag,454,g,USD,50
FMT-TH-TL-2025,Linden - Tilia,TRADITIONAL HERBS,57 g,bag,57,g,USD,16
FMT-TH-TL-2025,Linden - Tilia,TRADITIONAL HERBS,113 g,bag,113,g,USD,26
FMT-TH-TL-2025,Linden - Tilia,TRADITIONAL HERBS,454 g,bag,454,g,USD,52
FMT-TH-TT-2025,Trumpet Tree Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,25
FMT-TH-TT-2025,Trumpet Tree Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,36
FMT-TH-TT-2025,Trumpet Tree Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,68
